step,row,col,x,y,action_idx,action_name,target_row,target_col,target_x,target_y,coverage,best_coverage,valid_actions,q_values,stop_reason
17,16,19,-3.6750000000000007,1.2250000000000005,7,NW,16,19,-3.6750000000000007,1.2250000000000005,0.2902,0.2902,"[0,1,2,3,4,5,6,7]","[58.851898193359375,51.55499267578125,47.53119659423828,37.930992126464844,25.16011619567871,65.0184555053711,64.36113739013672,66.3656234741211]",
18,15,18,-4.025,1.5750000000000002,7,NW,15,18,-4.025,1.5750000000000002,0.2985,0.2985,"[0,1,2,3,4,5,6,7]","[60.555641174316406,51.959083557128906,47.63445281982422,37.498619079589844,23.018503189086914,63.214019775390625,64.04815673828125,68.41857147216797]",
19,14,17,-4.375,1.9250000000000007,7,NW,14,17,-4.375,1.9250000000000007,0.3058,0.3058,"[0,1,2,3,4,5,6,7]","[58.762054443359375,60.47180938720703,49.30188751220703,26.99190330505371,22.227163314819336,64.71273803710938,66.2429428100586,67.83772277832031]",
20,13,16,-4.7250000000000005,2.2750000000000004,7,NW,13,16,-4.7250000000000005,2.2750000000000004,0.3121,0.3121,"[0,1,2,3,4,5,6,7]","[60.23295211791992,56.11176681518555,46.40553665161133,24.39482879638672,29.02688217163086,66.1213607788086,66.3636245727539,68.06343841552734]",
21,13,15,-5.075,2.2750000000000004,6,W,13,15,-5.075,2.2750000000000004,0.3194,0.3194,"[0,1,2,3,4,5,6,7]","[59.62700653076172,60.035118103027344,44.53352355957031,23.784107208251953,26.113489151000977,69.51856994628906,70.90711975097656,60.97571563720703]",
22,13,14,-5.425000000000001,2.2750000000000004,6,W,13,14,-5.425000000000001,2.2750000000000004,0.3272,0.3272,"[0,1,2,3,4,5,6,7]","[55.95252990722656,49.565364837646484,41.90613555908203,18.903743743896484,55.596824645996094,61.86878967285156,65.38310241699219,64.6507568359375]",
23,12,13,-5.775,2.625,7,NW,12,13,-5.775,2.625,0.333,0.333,"[0,1,2,3,4,5,6,7]","[56.65553665161133,32.226036071777344,20.902320861816406,44.37114334106445,58.118656158447266,67.56460571289062,62.02078628540039,69.87571716308594]",
24,11,12,-6.125,2.9750000000000005,7,NW,11,12,-6.125,2.9750000000000005,0.3379,0.3379,"[0,1,2,3,4,5,6,7]","[41.25188064575195,42.88044738769531,33.04905319213867,23.362945556640625,56.08167266845703,72.8237533569336,71.80382537841797,73.66213989257812]",
25,11,11,-6.4750000000000005,2.9750000000000005,6,W,11,11,-6.4750000000000005,2.9750000000000005,0.3432,0.3432,"[2,3,4,5,6]","[43.37539291381836,43.093536376953125,43.55448913574219,42.69895935058594,43.19350051879883,61.56797790527344,69.66112518310547,55.273929595947266]",
26,12,10,-6.825,2.625,5,SW,12,10,-6.825,2.625,0.351,0.351,"[0,2,3,4,5,6,7]","[39.25789260864258,38.36661148071289,38.063575744628906,32.76999282836914,53.080989837646484,69.80044555664062,67.97445678710938,61.40388870239258]",
27,13,9,-7.175000000000001,2.2750000000000004,5,SW,13,9,-7.175000000000001,2.2750000000000004,0.3593,0.3593,"[0,1,2,3,4,5,6,7]","[35.67732620239258,37.97848892211914,40.081825256347656,42.09967803955078,59.8071403503418,67.30764770507812,51.84984588623047,47.898712158203125]",
28,14,9,-7.175000000000001,1.9250000000000007,4,S,14,9,-7.175000000000001,1.9250000000000007,0.3627,0.3627,"[0,1,2,3,4,5,6,7]","[41.16216278076172,40.431549072265625,39.4536018371582,57.03060531616211,57.26127624511719,50.19190979003906,42.91897964477539,41.664485931396484]",
29,15,10,-6.825,1.5750000000000002,3,SE,15,10,-6.825,1.5750000000000002,0.3666,0.3666,"[0,1,2,3,4,5,6,7]","[40.81879425048828,41.05309295654297,43.51707458496094,56.088287353515625,54.05522155761719,51.35405731201172,42.31855773925781,41.43914794921875]",
30,16,10,-6.825,1.2250000000000005,4,S,16,10,-6.825,1.2250000000000005,0.3704,0.3704,"[0,1,2,3,4,5,6,7]","[40.50746536254883,41.35115051269531,43.49746322631836,58.09349822998047,61.87276077270508,52.637908935546875,42.29721450805664,40.87223815917969]",
31,17,10,-6.825,0.875,4,S,17,10,-6.825,0.875,0.3753,0.3753,"[0,1,2,3,4,5,6,7]","[33.7799072265625,38.989990234375,40.89146423339844,61.362281799316406,63.98706817626953,60.92578887939453,47.09477996826172,38.10450744628906]",
32,18,9,-7.175000000000001,0.5250000000000004,5,SW,18,9,-7.175000000000001,0.5250000000000004,0.3811,0.3811,"[0,1,2,3,4,5,6,7]","[33.631561279296875,40.81711196899414,43.71440887451172,59.32551193237305,56.58709716796875,59.959957122802734,53.34089279174805,41.692237854003906]",
33,19,8,-7.525,0.1750000000000007,5,SW,19,8,-7.525,0.1750000000000007,0.3865,0.3865,"[0,1,2,3,4,5,6,7]","[31.070634841918945,34.191253662109375,47.47886657714844,57.61650085449219,57.15961456298828,67.88972473144531,57.692604064941406,43.066253662109375]",
34,20,8,-7.525,-0.17499999999999982,4,S,20,8,-7.525,-0.17499999999999982,0.3943,0.3943,"[0,1,2,3,4,5,6,7]","[21.946182250976562,21.57207489013672,50.068050384521484,63.91946792602539,64.72897338867188,57.94682693481445,61.95608901977539,54.848331451416016]",
35,21,8,-7.525,-0.5249999999999995,4,S,21,8,-7.525,-0.5249999999999995,0.405,0.405,"[0,1,2,3,4,5,6,7]","[24.30867576599121,29.35179328918457,60.3470458984375,60.311248779296875,65.4286117553711,58.22554016113281,57.71587371826172,43.218017578125]",
36,22,8,-7.525,-0.8749999999999991,4,S,22,8,-7.525,-0.8749999999999991,0.4147,0.4147,"[0,1,2,3,4,5,6,7]","[34.93033981323242,39.33742141723633,53.9786376953125,61.04388427734375,61.942726135253906,56.6207275390625,53.07624053955078,36.41801834106445]",
37,23,8,-7.525,-1.2249999999999996,4,S,23,8,-7.525,-1.2249999999999996,0.4254,0.4254,"[0,1,2,3,4,5,6,7]","[26.118741989135742,19.146760940551758,58.21680450439453,55.55140686035156,60.100303649902344,57.149070739746094,52.25431823730469,27.12239646911621]",
38,24,7,-7.875,-1.5749999999999993,5,SW,24,7,-7.875,-1.5749999999999993,0.4351,0.4351,"[0,1,2,3,4,5,6,7]","[25.243526458740234,40.73806381225586,46.704498291015625,51.498043060302734,51.9757194519043,52.53456497192383,51.11903762817383,22.440277099609375]",
39,24,8,-7.525,-1.5749999999999993,2,E,24,8,-7.525,-1.5749999999999993,0.438,0.438,"[0,1,2,3,4,5,6,7]","[23.22299575805664,28.413787841796875,54.01905822753906,51.46208572387695,51.94065475463867,43.9116096496582,39.501014709472656,30.203113555908203]",
40,25,7,-7.875,-1.924999999999999,5,SW,25,7,-7.875,-1.924999999999999,0.4453,0.4453,"[0,1,2,3,4,5,6,7]","[28.076778411865234,35.17911148071289,50.388214111328125,50.67087173461914,51.13142013549805,52.30156326293945,29.916004180908203,28.14289093017578]",
41,25,8,-7.525,-1.924999999999999,2,E,25,8,-7.525,-1.924999999999999,0.4482,0.4482,"[0,1,2,3,4,5,6,7]","[25.438335418701172,29.028141021728516,51.74845504760742,48.48695373535156,50.77469253540039,48.05677032470703,31.104942321777344,25.71768569946289]",
42,26,8,-7.525,-2.2749999999999986,4,S,26,8,-7.525,-2.2749999999999986,0.4555,0.4555,"[0,1,2,3,4,5,6,7]","[26.438682556152344,33.053550720214844,50.36867904663086,51.49646759033203,53.946903228759766,40.045021057128906,30.740642547607422,30.588394165039062]",
43,27,9,-7.175000000000001,-2.625,3,SE,27,9,-7.175000000000001,-2.625,0.4677,0.4677,"[0,1,2,3,4,5,6,7]","[18.658618927001953,28.550691604614258,51.994224548339844,53.60651397705078,47.73895263671875,51.15406036376953,27.74654197692871,24.57309913635254]",
44,27,10,-6.825,-2.625,2,E,27,10,-6.825,-2.625,0.4725,0.4725,"[0,1,2,3,4,5,6,7]","[24.53780746459961,34.301963806152344,47.83667755126953,47.240745544433594,45.86280059814453,40.33844757080078,35.95222091674805,24.71314239501953]",
45,28,11,-6.4750000000000005,-2.9749999999999996,3,SE,28,11,-6.4750000000000005,-2.9749999999999996,0.4837,0.4837,"[0,1,2,3,4,5,6,7]","[27.10451316833496,39.572540283203125,48.68513488769531,50.79913330078125,48.15241241455078,42.119606018066406,23.87775993347168,26.50355339050293]",
46,29,11,-6.4750000000000005,-3.3249999999999993,4,S,29,11,-6.4750000000000005,-3.3249999999999993,0.4925,0.4925,"[0,1,2,3,4,5,6,7]","[31.037748336791992,33.657859802246094,49.786964416503906,49.72643280029297,53.833351135253906,51.03617858886719,19.66263771057129,30.592317581176758]",
47,30,10,-6.825,-3.674999999999999,5,SW,30,10,-6.825,-3.674999999999999,0.5002,0.5002,"[0,1,2,3,4,5,6,7]","[13.209179878234863,42.13182830810547,49.14937210083008,48.721309661865234,49.71662521362305,53.0516242980957,45.671749114990234,9.495238304138184]",
48,31,10,-6.825,-4.024999999999999,4,S,31,10,-6.825,-4.024999999999999,0.5046,0.5046,"[0,1,2,3,4,5,6,7]","[22.229145050048828,14.33420467376709,34.985984802246094,44.740089416503906,48.36542510986328,32.59461975097656,30.353355407714844,29.89042854309082]",
49,32,11,-6.4750000000000005,-4.375,3,SE,32,11,-6.4750000000000005,-4.375,0.5105,0.5105,"[0,1,2,3,4,5,6,7]","[15.379236221313477,26.321563720703125,40.51089096069336,41.10356140136719,38.39626693725586,28.215286254882812,22.24424934387207,21.643129348754883]",
50,33,12,-6.125,-4.725,3,SE,33,12,-6.125,-4.725,0.5163,0.5163,"[0,1,2,3,4,5,6,7]","[15.47580337524414,22.091087341308594,39.28385543823242,41.39568328857422,33.29937744140625,25.093236923217773,19.44481086730957,17.90273094177246]",
51,33,13,-5.775,-4.725,2,E,33,13,-5.775,-4.725,0.5202,0.5202,"[0,1,2,3,4,5,6,7]","[13.057001113891602,16.898632049560547,36.76430892944336,28.604795455932617,16.819028854370117,14.678984642028809,14.439311027526855,10.240962028503418]",
52,33,14,-5.425000000000001,-4.725,2,E,33,14,-5.425000000000001,-4.725,0.5241,0.5241,"[0,1,2,3,4,5,6,7]","[7.988001346588135,28.182769775390625,35.873443603515625,33.817138671875,13.771047592163086,9.07608413696289,8.137693405151367,8.489786148071289]",
53,33,15,-5.075,-4.725,2,E,33,15,-5.075,-4.725,0.528,0.528,"[0,1,2,3,4,5,6,7]","[10.027444839477539,33.01701736450195,34.85395050048828,31.63233184814453,6.047746181488037,10.398248672485352,10.03400993347168,9.324972152709961]",
54,33,16,-4.7250000000000005,-4.725,2,E,33,16,-4.7250000000000005,-4.725,0.5309,0.5309,"[0,1,2,3,4,5,6,7]","[12.467804908752441,26.519065856933594,36.29508972167969,34.53374481201172,12.749003410339355,12.202210426330566,12.1295747756958,12.059958457946777]",
55,33,17,-4.375,-4.725,2,E,33,17,-4.375,-4.725,0.5348,0.5348,"[0,1,2,3,4,5,6,7]","[13.206220626831055,28.885820388793945,37.37188720703125,33.82569122314453,13.298006057739258,12.873598098754883,12.740579605102539,12.726860046386719]",
56,33,18,-4.025,-4.725,2,E,33,18,-4.025,-4.725,0.5401,0.5401,"[0,1,2,3,4,5,6,7]","[12.569908142089844,33.37384796142578,39.88147735595703,35.41102600097656,13.058307647705078,12.700836181640625,12.460613250732422,12.581321716308594]",
57,33,19,-3.6750000000000007,-4.725,2,E,33,19,-3.6750000000000007,-4.725,0.5445,0.5445,"[0,1,2,3,4,5,6,7]","[20.936220169067383,31.700796127319336,46.99553680419922,41.677398681640625,21.568613052368164,21.428083419799805,21.054866790771484,20.8210391998291]",
58,33,20,-3.325,-4.725,2,E,33,20,-3.325,-4.725,0.5479,0.5479,"[0,1,2,3,4,5,6,7]","[24.656890869140625,25.66320037841797,46.72634506225586,37.426292419433594,24.824411392211914,24.553647994995117,24.3343563079834,24.1534481048584]",
59,33,21,-2.9750000000000005,-4.725,2,E,33,21,-2.9750000000000005,-4.725,0.5513,0.5513,"[0,1,2,3,4,5,6,7]","[22.066675186157227,27.233591079711914,49.3168830871582,44.25824737548828,22.717269897460938,22.428686141967773,22.059032440185547,22.168867111206055]",
60,33,22,-2.625000000000001,-4.725,2,E,33,22,-2.625000000000001,-4.725,0.5547,0.5547,"[0,1,2,3,4,5,6,7]","[19.66956901550293,33.4024772644043,48.50585174560547,46.50477981567383,21.434036254882812,21.289562225341797,20.838298797607422,20.830528259277344]",
61,34,23,-2.2750000000000004,-5.074999999999999,3,SE,34,23,-2.2750000000000004,-5.074999999999999,0.56,0.56,"[0,1,2,3,4,5,6,7]","[16.6745548248291,43.57892990112305,49.78276443481445,50.41257858276367,18.567272186279297,21.670103073120117,21.296842575073242,21.049001693725586]",
62,35,24,-1.9250000000000007,-5.424999999999999,3,SE,35,24,-1.9250000000000007,-5.424999999999999,0.5644,0.5644,"[0,1,2,3,4,5,6,7]","[17.905746459960938,45.03114318847656,49.41205978393555,49.608280181884766,19.27838134765625,17.87481689453125,17.900997161865234,17.733245849609375]",
63,35,25,-1.575000000000001,-5.424999999999999,2,E,35,25,-1.575000000000001,-5.424999999999999,0.5678,0.5678,"[0,1,2,3,4,5,6,7]","[20.466751098632812,28.0693359375,52.518157958984375,47.96028137207031,20.968894958496094,21.220706939697266,20.59658432006836,18.799880981445312]",
64,36,26,-1.2250000000000014,-5.774999999999999,3,SE,36,26,-1.2250000000000014,-5.774999999999999,0.5722,0.5722,"[0,1,2,3,4,5,6,7]","[20.796146392822266,28.686588287353516,48.874568939208984,49.597930908203125,19.689239501953125,21.889663696289062,20.923246383666992,21.203289031982422]",
65,36,27,-0.875,-5.774999999999999,2,E,36,27,-0.875,-5.774999999999999,0.5761,0.5761,"[0,1,2,3,4,5,6,7]","[11.605337142944336,41.90095138549805,44.74043273925781,29.464580535888672,12.162012100219727,12.357036590576172,12.22005844116211,12.168397903442383]",
66,35,28,-0.5250000000000004,-5.424999999999999,1,NE,35,28,-0.5250000000000004,-5.424999999999999,0.5809,0.5809,"[0,1,2,3,4,5,6,7]","[14.067115783691406,44.22035598754883,44.15205001831055,33.48899459838867,6.00962495803833,12.495437622070312,12.164308547973633,12.420597076416016]",
67,35,29,-0.1750000000000007,-5.424999999999999,2,E,35,29,-0.1750000000000007,-5.424999999999999,0.5863,0.5863,"[0,1,2,3,4,5,6,7]","[21.479951858520508,48.92658233642578,53.23733901977539,52.342430114746094,6.7916436195373535,16.948726654052734,17.893930435180664,20.340213775634766]",
68,35,30,0.17499999999999893,-5.424999999999999,2,E,35,30,0.17499999999999893,-5.424999999999999,0.5916,0.5916,"[0,1,2,3,4,5,6,7]","[21.39163589477539,45.4030876159668,50.14699935913086,47.04047775268555,13.991111755371094,21.045923233032227,19.243938446044922,20.95233726501465]",
69,35,31,0.5249999999999986,-5.424999999999999,2,E,35,31,0.5249999999999986,-5.424999999999999,0.5965,0.5965,"[0,1,2,3,4,5,6,7]","[22.70803451538086,31.52741050720215,52.085899353027344,46.77545928955078,21.707355499267578,21.762142181396484,21.265783309936523,21.78106117248535]",
70,36,32,0.875,-5.774999999999999,3,SE,36,32,0.875,-5.774999999999999,0.5994,0.5994,"[0,1,2,3,4,5,6,7]","[24.56646156311035,35.278282165527344,56.25563049316406,56.59912109375,27.479265213012695,26.66190528869629,26.33791160583496,26.33595085144043]",
71,36,33,1.2249999999999996,-5.774999999999999,2,E,36,33,1.2249999999999996,-5.774999999999999,0.6018,0.6018,"[0,1,2,3,4,5,6,7]","[18.582883834838867,44.3552131652832,51.19023513793945,25.578990936279297,24.966264724731445,24.94430160522461,24.861461639404297,24.911701202392578]",
72,35,34,1.5749999999999993,-5.424999999999999,1,NE,35,34,1.5749999999999993,-5.424999999999999,0.6057,0.6057,"[0,1,2,3,4,5,6,7]","[38.771053314208984,50.89067077636719,49.653289794921875,36.78324890136719,12.979301452636719,19.305381774902344,19.225849151611328,19.463308334350586]",
73,34,35,1.924999999999999,-5.074999999999999,1,NE,34,35,1.924999999999999,-5.074999999999999,0.6091,0.6091,"[0,1,2,3,4,5,6,7]","[48.46918869018555,56.28034973144531,36.19633483886719,45.598365783691406,13.151701927185059,16.12393569946289,18.715164184570312,22.738906860351562]",
74,34,36,2.2749999999999986,-5.074999999999999,2,E,34,36,2.2749999999999986,-5.074999999999999,0.6106,0.6106,"[0,1,2,3,4,5,6,7]","[37.06512451171875,38.33131790161133,38.56934356689453,38.508907318115234,36.30266189575195,29.621200561523438,25.647563934326172,26.61522102355957]",
75,33,37,2.625,-4.725,1,NE,33,37,2.625,-4.725,0.6125,0.6125,"[0,1,2,3,4,5,6,7]","[34.54005432128906,34.68004608154297,34.64509582519531,34.63837432861328,34.50215530395508,34.60689163208008,33.684730529785156,34.40949630737305]",
76,32,37,2.625,-4.375,0,N,32,37,2.625,-4.375,0.613,0.613,"[0,1,2,3,4,5,6,7]","[36.74835968017578,36.454959869384766,36.54548645019531,36.281246185302734,36.28194046020508,36.049560546875,35.94083023071289,36.432613372802734]",
77,31,38,2.9749999999999996,-4.024999999999999,1,NE,31,38,2.9749999999999996,-4.024999999999999,0.6145,0.6145,"[0,1,2,3,4,5,6,7]","[37.137725830078125,39.9655647277832,37.74036407470703,36.88106918334961,36.561100006103516,36.96403503417969,37.02558135986328,36.9406623840332]",
78,30,39,3.3249999999999993,-3.674999999999999,1,NE,30,39,3.3249999999999993,-3.674999999999999,0.6155,0.6155,"[0,1,2,3,4,5,6,7]","[25.71752166748047,63.19764709472656,56.37564468383789,49.73889923095703,22.3682861328125,29.00576400756836,29.039459228515625,29.514995574951172]",
79,30,40,3.674999999999999,-3.674999999999999,2,E,30,40,3.674999999999999,-3.674999999999999,0.6164,0.6164,"[0,1,2,3,4,5,6]","[53.12053298950195,63.05564498901367,64.59085845947266,18.50657081604004,17.52589988708496,16.137239456176758,21.17848777770996,8.883182525634766]",
80,30,41,4.024999999999999,-3.674999999999999,2,E,30,41,4.024999999999999,-3.674999999999999,0.6164,0.6164,"[0,1,2,3,4,5,6,7]","[55.85406494140625,56.56797790527344,56.86723709106445,34.18642044067383,15.456140518188477,13.730833053588867,12.665355682373047,9.443735122680664]",
81,29,42,4.374999999999998,-3.3249999999999993,1,NE,29,42,4.374999999999998,-3.3249999999999993,0.6179,0.6179,"[0,1,2,3,4,5,6,7]","[30.160789489746094,58.94664764404297,47.76773452758789,18.304500579833984,20.556129455566406,14.221810340881348,10.755757331848145,50.338050842285156]",
82,28,43,4.725,-2.9749999999999996,1,NE,28,43,4.725,-2.9749999999999996,0.6223,0.6223,"[0,1,2,3,4,5,6,7]","[38.98322677612305,59.18722915649414,45.05259704589844,18.9561824798584,14.134902954101562,10.990047454833984,8.901876449584961,53.352779388427734]",
83,27,43,4.725,-2.625,0,N,27,43,4.725,-2.625,0.6364,0.6364,"[0,4,5,6,7]","[55.97508239746094,47.597660064697266,11.421945571899414,11.37632942199707,11.82880973815918,15.36347770690918,42.534427642822266,49.389644622802734]",
84,27,44,5.074999999999999,-2.625,2,E,27,44,5.074999999999999,-2.625,0.6403,0.6403,"[2,4,5,6]","[16.42730140686035,28.47068214416504,66.54155731201172,15.906475067138672,36.274803161621094,28.0593204498291,50.200138092041016,61.129642486572266]",
85,27,45,5.424999999999999,-2.625,2,E,27,45,5.424999999999999,-2.625,0.648,0.648,"[2,6]","[18.200218200683594,64.86178588867188,64.77510833740234,49.74574661254883,13.883959770202637,45.83420181274414,45.65812683105469,15.41585636138916]",
86,26,45,5.424999999999999,-2.2749999999999986,0,N,26,45,5.424999999999999,-2.2749999999999986,0.6524,0.6524,"[0,1,2,6]","[71.07254791259766,67.67611694335938,69.94648742675781,41.56282043457031,17.008573532104492,18.13591194152832,34.19102096557617,22.34239959716797]",
87,26,46,5.774999999999999,-2.2749999999999986,2,E,26,46,5.774999999999999,-2.2749999999999986,0.6612,0.6612,"[0,1,2,3,4]","[56.640052795410156,59.27809143066406,63.393226623535156,59.48258972167969,50.45242691040039,24.991615295410156,14.691367149353027,17.13739013671875]",
88,27,47,6.125,-2.625,3,SE,27,47,6.125,-2.625,0.6689,0.6689,"[0,1,2,3,4,5,6,7]","[41.9100227355957,53.32150650024414,54.4777717590332,58.966434478759766,25.021739959716797,46.02376937866211,26.400665283203125,34.710628509521484]",
89,27,48,6.474999999999998,-2.625,2,E,27,48,6.474999999999998,-2.625,0.684,0.684,"[0,1,2,6,7]","[51.02639389038086,54.07020568847656,57.66878890991211,13.217727661132812,3.928859233856201,5.316091060638428,48.91399002075195,52.738040924072266]",
90,27,49,6.824999999999999,-2.625,2,E,27,49,6.824999999999999,-2.625,0.6966,0.6966,"[0,1,2,6,7]","[58.144290924072266,57.20688247680664,60.946807861328125,41.27854537963867,10.186239242553711,19.786075592041016,34.26787567138672,34.078033447265625]",
91,27,50,7.174999999999997,-2.625,2,E,27,50,7.174999999999997,-2.625,0.7035,0.7035,"[0,1,2,3,4,6,7]","[40.17626190185547,29.195524215698242,49.01994323730469,40.53778839111328,39.21781921386719,-3.152291774749756,10.53997802734375,-1.2820696830749512]",
92,26,51,7.524999999999999,-2.2749999999999986,1,NE,26,51,7.524999999999999,-2.2749999999999986,0.7078,0.7078,"[0,1,2,3,4,5,6,7]","[6.312707901000977,42.41049575805664,37.06388473510742,36.51318359375,36.73107147216797,38.31037902832031,-2.646956443786621,-4.021773338317871]",
93,26,52,7.875,-2.2749999999999986,2,E,26,52,7.875,-2.2749999999999986,0.7093,0.7093,"[0,1,2,3,4,5,6,7]","[34.994266510009766,35.574771881103516,36.03042221069336,13.599843978881836,18.802112579345703,20.359989166259766,-12.044225692749023,34.76646423339844]",
94,25,52,7.875,-1.924999999999999,0,N,25,52,7.875,-1.924999999999999,0.7107,0.7107,"[0,1,2,3,4,5,6,7]","[41.04872512817383,35.336483001708984,31.53148651123047,21.660036087036133,7.579275608062744,8.901741027832031,-4.71707010269165,32.57988739013672]",
95,25,53,8.224999999999998,-1.924999999999999,2,E,25,53,8.224999999999998,-1.924999999999999,0.7107,0.7107,"[0,1,2,3,4,5,6,7]","[33.84111785888672,35.91609573364258,37.02032470703125,16.83523178100586,9.015936851501465,-12.546298027038574,30.424053192138672,36.46487808227539]",
96,24,53,8.224999999999998,-1.5749999999999993,0,N,24,53,8.224999999999998,-1.5749999999999993,0.7117,0.7117,"[0,1,2,3,4,5,6,7]","[47.48149108886719,38.3209342956543,33.83845520019531,14.289031028747559,0.10164713859558105,1.0140388011932373,-0.04027104377746582,46.97782897949219]",
97,23,52,7.875,-1.2249999999999996,7,NW,23,52,7.875,-1.2249999999999996,0.7146,0.7146,"[0,1,2,3,4,5,6,7]","[47.6858024597168,22.85253143310547,20.724998474121094,1.986510992050171,1.363168478012085,-1.1951086521148682,46.47052764892578,48.21865463256836]",
98,22,52,7.875,-0.8749999999999991,0,N,22,52,7.875,-0.8749999999999991,0.7151,0.7151,"[0,1,2,3,4,5,6,7]","[29.82299041748047,27.75827407836914,26.246173858642578,19.35309600830078,18.837432861328125,26.477521896362305,26.803672790527344,26.957305908203125]",
